GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A024QYT5	SERPINE1	part_of	GO:0005615	extracellular space	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000215	9606	InterPro		C
UniProtKB	A0A024QZ87	MGC34647	part_of	GO:0005615	extracellular space	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR020415	9606	InterPro		C
UniProtKB	A0A024QZQ2	PSAP	part_of	GO:0005615	extracellular space	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000342797	9606	UniProt		C
UniProtKB	A0A024QZT4	SERPINB9	part_of	GO:0005615	extracellular space	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000215	9606	InterPro		C
UniProtKB	A0A024QZT8	SERPINB6	part_of	GO:0005615	extracellular space	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000215	9606	InterPro		C
UniProtKB	A0A024QZX3	SERPINB6	part_of	GO:0005615	extracellular space	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000215	9606	InterPro		C
UniProtKB	A0A024QZX5	SERPINB6	part_of	GO:0005615	extracellular space	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000215	9606	InterPro		C
UniProtKB	A0A024R0A1	CSF1	part_of	GO:0005615	extracellular space	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0202	9606	UniProt		C
UniProtKB	A0A024R0P8	TGFB1	part_of	GO:0005615	extracellular space	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR016319	9606	InterPro		C
UniProtKB	A0A024R0P8	TGFB1	part_of	GO:0005615	extracellular space	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000954751	9606	UniProt		C
UniProtKB	A0A024R0R7	FKRP	part_of	GO:0005615	extracellular space	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8CG64|ensembl:ENSMUSP00000059091	9606	Ensembl		C
UniProtKB	A0A024R0T9	APOC2	part_of	GO:0042627	chylomicron	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008019	9606	InterPro		C
UniProtKB	A0A024R0T9	APOC2	part_of	GO:0034362	low-density lipoprotein particle	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0427	9606	UniProt		C
UniProtKB	A0A024R0T9	APOC2	part_of	GO:0042627	chylomicron	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0162	9606	UniProt		C
UniProtKB	A0A024R0T9	APOC2	part_of	GO:0034364	high-density lipoprotein particle	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0345	9606	UniProt		C
UniProtKB	A0A024R0T9	APOC2	part_of	GO:0034361	very-low-density lipoprotein particle	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0850	9606	UniProt		C
UniProtKB	A0A024R1J0	C1QTNF6	part_of	GO:0005615	extracellular space	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q6IR41|ensembl:ENSMUSP00000023075	9606	Ensembl		C
UniProtKB	A0A024R1U8	IGFBP4	part_of	GO:0005615	extracellular space	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P47879|ensembl:ENSMUSP00000017637	9606	Ensembl		C
UniProtKB	A0A024R1Y8	FSTL3	part_of	GO:0005615	extracellular space	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q99PW7|ensembl:ENSRNOP00000012578	9606	Ensembl		C
UniProtKB	A0A024R1Y8	FSTL3	part_of	GO:0005615	extracellular space	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9EQC7|ensembl:ENSMUSP00000020575	9606	Ensembl		C
UniProtKB	A0A024R2B1	SERPINB8	part_of	GO:0005615	extracellular space	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000215	9606	InterPro		C
UniProtKB	A0A024R2B5	LIPG	part_of	GO:0005615	extracellular space	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8VBX1|ensembl:ENSRNOP00000025257	9606	Ensembl		C
UniProtKB	A0A024R2B6	SERPINB5	part_of	GO:0005615	extracellular space	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000215	9606	InterPro		C
UniProtKB	A0A024R2W4	DAG1	part_of	GO:0005615	extracellular space	ECO:0000323	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0112	9606	UniProt		C
UniProtKB	A0A024R369	FAM19A4	part_of	GO:0005615	extracellular space	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q7TPG5|ensembl:ENSMUSP00000086710	9606	Ensembl		C
UniProtKB	A0A024R380	CBLN2	part_of	GO:0005615	extracellular space	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8BGU2|ensembl:ENSMUSP00000113695	9606	Ensembl		C
UniProtKB	A0A024R3E0	IL18	part_of	GO:0005615	extracellular space	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000975	9606	InterPro		C
UniProtKB	A0A024R3E0	IL18	part_of	GO:0005615	extracellular space	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0202	9606	UniProt		C
UniProtKB	A0A024R3E0	IL18	part_of	GO:0005615	extracellular space	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000483752	9606	UniProt		C
UniProtKB	A0A024R3E3	APOA1	part_of	GO:0034364	high-density lipoprotein particle	ECO:0000323	IEA	GO_REF:0000043	UniProtKB-KW:KW-0345	9606	UniProt		C
