symbol,log2FC,p_value_neg,p_value_pos,p_value_twosided
TMEM106B,3.790333609,0.077895322,0.417464850,0.041679150
PIK3CA,0.478457000,0.005600806,0.935494446,0.018809644
HIST2H2AA4,-0.475151244,0.089764563,0.972253468,0.340075624
UBR5,-0.576493775,0.013532890,0.929596897,0.043688169
ANPEP,-0.636893451,0.089726758,0.343948628,0.042398662
TEX261,-0.722795838,0.008443144,0.932791221,0.028076272
CCDC71,-0.736210075,0.002364206,0.939226742,0.008292671
AACS,-0.894386465,0.003740797,0.938410267,0.012939561
UBE2L3,-0.953866573,0.011898570,0.932722017,0.038832916
CXCR3,-0.986642673,0.011526899,0.926929878,0.037628178
SPDL1,-1.019990688,0.004888475,0.937759609,0.016747716
RGP1,-1.036350279,0.009611971,0.934236453,0.031754576
ABHD5,-1.099611261,0.008539157,0.934811546,0.028389719
COL6A1,-1.164515171,0.053565028,0.710458098,0.086170673
REC8,-1.166960148,0.026104206,0.928548053,0.086006032
IYD,-1.195900974,0.011048190,0.998497814,0.074932915
FBXO6,-1.219354694,0.004322642,0.938358913,0.014901254
AP5B1,-1.239671930,0.005759558,0.937039608,0.019570562
ZBTB49,-1.261611494,0.006445735,0.557654622,0.004417697
P4HB,-1.266457816,0.009386202,0.934657507,0.031205535
ING3,-1.272801128,0.028333833,0.826899740,0.060262809
HMBOX1,-1.297666974,0.036907052,0.714475328,0.060628523
OR4F29,-1.303201720,0.021544700,0.993993834,0.098772592
KIZ,-1.307069509,0.015302275,0.938141801,0.052120878
CLDND1,-1.337236187,0.071212620,0.734651933,0.125763573
DMRTC1,-1.346332069,0.004251270,0.938500428,0.014669320
EXOC2,-1.412821112,0.006045571,0.936868809,0.020506445
RAB39B,-1.412876298,0.014480612,0.934071636,0.048782666
OR2A5,-1.427983309,0.063844762,0.767896217,0.130800492
PSMG2,-1.430328017,0.008869748,0.931841716,0.028878282
TP53,-1.438247889,0.014879939,0.938884702,0.050921966
C1S,-1.444482450,0.009089210,0.937823417,0.030891707
DYRK3,-1.446707970,0.019131265,0.951780178,0.072447323
ZNF354A,-1.456673024,0.005068400,0.999727932,0.037333253
TEX43,-1.497839014,0.013178799,0.940857509,0.045947044
