symbol,log2FC,p_value_neg,p_value_pos,p_value_twosided
ACSL4,2.319822909,0.055204468,0.995214503,0.289408898
AHCYL1,2.275804933,0.000182735,0.999993459,0.001672668
HSD17B12,2.128567491,0.029843960,0.997442294,0.175936379
KRT19,2.092643877,0.043449755,0.996400629,0.239299418
GLUD1,1.969613126,0.110835014,0.912867025,0.332925545
DTD1,1.936683161,0.108944134,0.967557008,0.397182884
PTDSS1,1.933609035,0.030306600,0.997700153,0.178201555
OSBPL9,1.927551820,0.021019514,0.995733571,0.096592472
C17orf53,1.879344639,0.038316268,0.988733585,0.216139373
CCZ1B,1.844252228,0.044433356,0.935363298,0.153397068
SALL2,1.808327283,0.063753037,0.970077904,0.314536057
EXT1,1.766956100,0.024652159,0.994104301,0.149896923
TMEM30A,1.746030434,0.072836921,0.822943462,0.143520562
CEP350,1.723165425,0.023715636,0.982559016,0.140828262
RSG1,1.635283323,0.079919772,0.973485321,0.380519342
RPL19,1.633421396,0.083724368,0.980251402,0.397214996
MAPKAPK3,1.626257063,0.065337147,0.992192865,0.329748423
ITGB6,1.622154687,0.021868064,0.997357968,0.135425111
PTPN23,1.618387944,0.006446472,0.996443507,0.046380702
C7orf77,1.616884000,0.100389361,0.988785092,0.452854359
ZBTB32,1.604141444,0.015102032,0.998388165,0.098504564
MTRNR2L9,1.601139966,0.052931961,0.986881750,0.280014772
DNM2,1.596582454,0.062361776,0.993572187,0.318154909
KIAA1598,1.569436899,0.139002276,0.975735760,0.565127563
LRRC71,1.567880223,0.085685293,0.990063132,0.404017462
PHIP,1.564538247,0.165531966,0.899888581,0.458561705
PMPCA,1.561816545,0.214253932,0.929585276,0.661341760
CAMLG,1.554987904,0.006565272,0.999450335,0.047148094
PIK3C3,1.536116727,0.018132564,0.987243415,0.115374735
THBS4,1.533334507,0.082303096,0.990097575,0.392239782
CCDC176,1.524020777,0.055990623,0.980746850,0.292627914
SERPINA11,1.521595088,0.049442819,0.991517278,0.265325761
NR2F6,1.515136840,0.054078124,0.994258013,0.284769481
BAP1,1.500126923,0.000653638,0.999982266,0.005603038
TMEM41B,1.499994761,0.001423856,0.999854069,0.011618420
FGB,1.483108642,0.045076691,0.940989836,0.164099519
MAPK4,1.475336454,0.041929614,0.989238125,0.232528206
POP1,1.472717788,0.054566346,0.959446799,0.273191133
PINK1,1.471712310,0.030950256,0.992956160,0.181338824
DSTYK,1.464821386,0.036861256,0.973325349,0.179274855
CAPSL,1.461011490,0.072090147,0.969977344,0.355334105
PSMB7,1.454211086,0.106653659,0.983564069,0.472564183
TFG,1.452449455,0.038563500,0.995501796,0.217274312
CYYR1,1.452206838,0.169876801,0.934726863,0.580786079
TAF1B,1.446520590,0.154489748,0.940326962,0.520022255
SLC22A2,1.439057620,0.044532948,0.996448012,0.244081286
ARPC4,1.437279812,0.041040655,0.976607805,0.215873245
PTGES3L,1.422984647,0.076844083,0.893780437,0.210569138
AOC3,1.420644635,0.099980019,0.988849315,0.451544443
DHCR7,1.418887659,0.000399526,0.999583369,0.003519463
OSBPL8,1.417247043,0.302414093,0.553500414,0.330826672
TMEM160,1.412237420,0.200097927,0.922780724,0.609028129
EIF1AX,1.411004676,0.015087692,0.998803093,0.098423318
ACVR1B,1.404319532,0.141990880,0.979560699,0.572964191
CDC16,1.402931660,0.210771183,0.923946540,0.641527212
EGF,1.400264680,0.012716498,0.997706334,0.084787095
MKRN3,1.394917006,0.018802399,0.998527716,0.119027433
KCNMB4,1.375327742,0.051964641,0.980610417,0.275975150
ZNF276,1.366350381,0.212252320,0.874299602,0.586249965
GAGE2B,1.361075443,0.040344625,0.991922263,0.225391158
SST,1.360217913,0.253808937,0.907962208,0.701169146
CCL27,1.359133149,0.034920186,0.980425804,0.199240242
CDH15,1.358571399,0.184167958,0.820356620,0.382514602
SYT1,1.357866928,0.044631479,0.925302805,0.139058768
RPL35,1.350464871,0.050205609,0.976630305,0.268565181
CDKN2C,1.349683507,0.193976518,0.934758321,0.628835487
CLTC,1.348946277,0.011467605,0.997020621,0.077432045
GADD45A,1.347536897,0.175557078,0.926156459,0.561718247
POU2F2,1.342903633,0.069729323,0.877613611,0.174544143
LOC102724957,1.342387968,0.027929946,0.971333750,0.136585502
SLC33A1,1.342190082,0.033967942,0.997063740,0.195834212
ZNF521,1.339569064,0.025273134,0.996368189,0.153074148
SLC4A4,1.337840761,0.156076726,0.918068875,0.459754462
NPC1,1.335096501,0.028150608,0.995868099,0.167570787
TM4SF5,1.334845513,0.044169453,0.981327858,0.242480540
IRX3,1.334308344,0.010486648,0.957834968,0.052735965
RAE1,1.329223494,0.093750157,0.979207303,0.352260721
HSPA2,1.327845049,0.031708440,0.758433185,0.072461611
MEFV,1.326787623,0.147909617,0.973567770,0.588154293
EFR3A,1.326344840,0.025734951,0.998187139,0.155425549
TMEM165,1.325885388,0.041048475,0.988143406,0.228570366
C9orf114,1.325791679,0.007366980,0.985303191,0.046446571
ZNF534,1.325300020,0.052867383,0.937179058,0.194035700
CAPN3,1.323055912,0.183621657,0.899335714,0.554011931
PTGER4,1.320783412,0.107316939,0.981967347,0.474614797
LPCAT3,1.315906132,0.000642701,0.999862390,0.005514684
SLC2A6,1.315751524,0.062212259,0.945813923,0.220598052
NR4A1,1.315690216,0.017477019,0.997512317,0.111774234
HSP90B1,1.313934458,0.058313645,0.986928011,0.237399646
R3HDML,1.313537572,0.151596751,0.948955422,0.596078345
DAND5,1.313288008,0.062474932,0.985963965,0.318599538
ARID1A,1.307343996,0.058916247,0.986995169,0.304471826
PLA2G15,1.306008434,0.087602047,0.967878432,0.410598482
DNAJC3,1.300287926,0.067935868,0.989441616,0.339711487
SLC35A1,1.295875646,0.199516883,0.962602535,0.703759214
B4GALT7,1.294431398,0.262590863,0.950034860,0.810468947
ADH1C,1.293653769,0.019944309,0.997831845,0.125195192
SPARCL1,1.293387879,0.031608922,0.993401094,0.184532384
PSIP1,1.291878056,0.164924602,0.800587564,0.412474942
OR6K2,1.290827628,0.133212572,0.967188417,0.549619469
ARF1,1.288472873,0.040529385,0.989717509,0.226227231
PREP,1.285523693,0.032262111,0.981294710,0.183693375
HOXB9,1.282372709,0.072395301,0.982859250,0.356467278
KRTAP8-1,1.275683852,0.044436163,0.990085132,0.243655456
OR6C1,1.272043625,0.030540572,0.993765567,0.179343871
RSL1D1,1.271012106,0.151047575,0.921266464,0.452432983
SLC12A9,1.270257853,0.028307981,0.995816408,0.168353274
KRTAP4-6,1.266163931,0.330423745,0.858977200,0.752097072
FCHSD1,1.266075444,0.065613076,0.988945180,0.330813403
SH3BGRL,1.263991008,0.187184843,0.970333645,0.678694810
DAGLA,1.263867925,0.060340920,0.986499321,0.310163768
NCOA7,1.258895121,0.069447202,0.972091231,0.345437696
LCN10,1.257835032,0.023802374,0.982282102,0.135222071
SLC25A25,1.257628835,0.036342034,0.961709040,0.189834230
FBXW5,1.254325918,0.190317063,0.851608904,0.499767599
SCAMP4,1.252149214,0.033322300,0.990220594,0.192761745
NASP,1.247370342,0.094840359,0.957800694,0.434861101
