symbol,log2FC,p_value_neg,p_value_pos,p_value_twosided
Non-Targeting,-3.778058070,0.000000000,1.000000000,0.000000000
NTSR1,-5.178714928,0.000033126,0.999999658,0.000324436
JMY,-5.142756240,0.000034596,0.999999635,0.000338323
DNAH1,-5.141464829,0.000034669,0.999999629,0.000339012
FOXE3,-5.131536067,0.000035077,0.999999625,0.000342859
LY6G6C,-5.101941274,0.000036311,0.999999616,0.000354495
ELP5,-5.097568755,0.000036499,0.999999614,0.000356264
TGM6,-4.901481408,0.000036816,0.999999610,0.000359251
KCNK13,-5.074856389,0.000037566,0.999999585,0.000366315
JAM3,-5.045995487,0.000038823,0.999999582,0.000378132
MESDC2,-5.045935526,0.000039015,0.999999537,0.000379933
TSPAN10,-5.031278464,0.000039525,0.999999570,0.000384725
AKR1D1,-5.024227724,0.000039964,0.999999541,0.000388846
THAP3,-5.022279007,0.000039996,0.999999554,0.000389148
PRRC2B,-5.005084301,0.000040752,0.999999560,0.000396241
C10orf91,-4.804855632,0.000041249,0.999999557,0.000400900
TSPYL5,-4.988258711,0.000041576,0.999999549,0.000403967
MCM2,-4.988132810,0.000041590,0.999999548,0.000404096
DUOX2,-4.983807139,0.000042048,0.999999492,0.000408386
LRRTM2,-4.972352113,0.000042359,0.999999542,0.000411296
DCAF7,-4.975543578,0.000042416,0.999999496,0.000411828
MIR1-1HG,-4.963355047,0.000042821,0.999999535,0.000415617
SIGIRR,-4.963700777,0.000042929,0.999999506,0.000416631
MAGEC1,-4.959055070,0.000043249,0.999999483,0.000419622
LRRC29,-4.954628182,0.000043287,0.999999525,0.000419981
PLEK2,-4.947411593,0.000043681,0.999999516,0.000423665
MMP15,-4.946882675,0.000043718,0.999999514,0.000424011
CTDSP1,-4.944858450,0.000043773,0.999999524,0.000424524
TMEM223,-4.943971456,0.000043912,0.999999502,0.000425828
KRTAP4-8,-4.939929936,0.000044034,0.999999520,0.000426968
CHIT1,-4.939687644,0.000044040,0.999999521,0.000427020
PLEKHA5,-4.933756299,0.000044439,0.999999498,0.000430756
USP17L5,-4.931916345,0.000044476,0.999999510,0.000431093
CBLC,-4.927083521,0.000044739,0.999999505,0.000433555
STX11,-4.927564244,0.000044790,0.999999489,0.000434028
NUDT8,-4.925097987,0.000044878,0.999999496,0.000434857
AARS,-4.925003136,0.000044912,0.999999489,0.000435170
ZNF467,-4.921399860,0.000045016,0.999999507,0.000436143
LYRM1,-4.921592578,0.000045155,0.999999473,0.000437439
C5orf47,-4.918112488,0.000045184,0.999999507,0.000437711
TMPRSS7,-4.914794813,0.000045560,0.999999462,0.000441220
WNK2,-4.926549431,0.000045772,0.999999437,0.000443198
ERAP1,-4.905483959,0.000045930,0.999999485,0.000444678
NYX,-4.901871977,0.000046146,0.999999478,0.000446685
SDPR,-4.900106470,0.000046223,0.999999481,0.000447411
LZTS2,-4.896108000,0.000046429,0.999999482,0.000449330
PRM2,-4.890501890,0.000046741,0.999999478,0.000452236
LHFPL2,-4.891002578,0.000047005,0.999999411,0.000454703
POLE4,-4.888636728,0.000047146,0.999999412,0.000456013
EPHB1,-4.879312343,0.000047391,0.999999464,0.000458296
PIK3C2B,-4.875347944,0.000047580,0.999999469,0.000460055
RABEP2,-4.877708368,0.000047582,0.999999441,0.000460073
FASTKD5,-4.873175630,0.000047702,0.999999468,0.000461194
TYMSOS,-4.872571600,0.000047806,0.999999452,0.000462162
RTN4RL2,-4.871581805,0.000047821,0.999999460,0.000462303
PCYT2,-4.871059845,0.000047908,0.999999448,0.000463117
HOXD9,-4.867184090,0.000048036,0.999999465,0.000464305
ZNF532,-4.866307838,0.000048164,0.999999447,0.000465501
NDUFB10,-4.668911959,0.000048166,0.999999432,0.000465517
ALX3,-4.863097449,0.000048269,0.999999463,0.000466475
PXN,-4.862246506,0.000048314,0.999999463,0.000466898
OR7C2,-4.863269680,0.000048375,0.999999437,0.000467466
COL5A1,-4.861145586,0.000048378,0.999999462,0.000467489
KRTAP10-11,-4.861796123,0.000048468,0.999999433,0.000468332
DNAJB4,-4.857867371,0.000048556,0.999999462,0.000469151
BTG2,-4.853631068,0.000048895,0.999999438,0.000472307
TSC22D4,-4.852992588,0.000048896,0.999999446,0.000472311
POM121C,-4.846287177,0.000049258,0.999999447,0.000475681
TMEM170A,-4.658627980,0.000049358,0.999999426,0.000476616
PRRT3,-4.844119022,0.000049368,0.999999449,0.000476710
NAA10,-4.837404940,0.000049797,0.999999437,0.000480695
ITGB1,-4.837086228,0.000049958,0.999999408,0.000482196
ACD,-4.651658713,0.000050096,0.999999423,0.000483479
SLC4A11,-4.657293063,0.000050202,0.999999418,0.000484463
AZIN2,-4.830745513,0.000050307,0.999999408,0.000485433
PRM1,-4.825231380,0.000050548,0.999999423,0.000487680
RARRES3,-4.822440405,0.000050801,0.999999400,0.000490032
C9orf85,-4.819306664,0.000051120,0.999999374,0.000492994
ACOT2,-4.815236048,0.000051138,0.999999418,0.000493157
SPRR2G,-4.811889155,0.000051339,0.999999416,0.000495024
PTX4,-4.812773233,0.000051417,0.999999389,0.000495752
FGFR2,-4.807855592,0.000051569,0.999999416,0.000497161
HMCN2,-4.809375142,0.000051592,0.999999393,0.000497378
RMI2,-4.802817093,0.000051926,0.999999403,0.000500471
ZNF394,-4.800647460,0.000052074,0.999999398,0.000501848
KCNK9,-4.800034903,0.000052087,0.999999403,0.000501966
SRPK3,-4.800155136,0.000052176,0.999999382,0.000502796
LOC100287036,-4.796596718,0.000052345,0.999999391,0.000504367
NFKB1,-4.794571380,0.000052455,0.999999392,0.000505387
DSP,-4.794236406,0.000052463,0.999999395,0.000505457
MAGEA10,-4.791979330,0.000052618,0.999999390,0.000506899
SERPINF1,-4.788788880,0.000052732,0.999999406,0.000507955
ITGB5,-4.789704560,0.000052759,0.999999388,0.000508207
NKX2-8,-4.786962305,0.000052856,0.999999402,0.000509101
LRRC59,-4.781392480,0.000053295,0.999999380,0.000513179
SPATC1,-4.782711564,0.000053353,0.999999352,0.000513713
CAPN10,-4.779139337,0.000053363,0.999999393,0.000513809
IGF2BP2,-4.775031173,0.000053684,0.999999377,0.000516783
PGPEP1,-4.775701195,0.000053797,0.999999345,0.000517825
INPP5K,-4.771148417,0.000053904,0.999999380,0.000518817
MMAB,-4.767857971,0.000054366,0.999999327,0.000523105
ZNF598,-4.762554130,0.000054480,0.999999368,0.000524160
LOC403312,-4.758714207,0.000054714,0.999999368,0.000526329
ANAPC11,-4.756287577,0.000054857,0.999999370,0.000527646
OR52M1,-4.749630066,0.000055287,0.999999365,0.000531635
WNT8B,-4.752272103,0.000055326,0.999999325,0.000531990
AKR7A3,-4.748297838,0.000055430,0.999999353,0.000532956
C5AR1,-4.755297550,0.000055435,0.999999261,0.000533002
OR3A3,-4.745867688,0.000055562,0.999999357,0.000534176
DPH3P1,-4.747192312,0.000055579,0.999999335,0.000534335
TLDC2,-4.746509917,0.000055622,0.999999336,0.000534728
FBXW10,-4.743418449,0.000055675,0.999999364,0.000535226
RUSC1,-4.742920618,0.000055843,0.999999336,0.000536779
B3GNT7,-4.743654959,0.000056110,0.999999272,0.000539246
PML,-4.738003591,0.000056243,0.999999316,0.000540476
TOP3A,-4.733913011,0.000056305,0.999999357,0.000541048
PPAPDC2,-4.732994263,0.000056461,0.999999337,0.000542492
POTEI,-4.731645003,0.000056527,0.999999340,0.000543106
GSTP1,-4.730157125,0.000056586,0.999999348,0.000543648
C2orf48,-4.728867884,0.000056640,0.999999353,0.000544153
C16orf74,-4.730373478,0.000056704,0.999999319,0.000544741
RASSF7,-4.724952726,0.000056916,0.999999348,0.000546703
SBK2,-4.717678278,0.000057527,0.999999318,0.000552347
NUAK1,-4.716930167,0.000057619,0.999999308,0.000553198
FOXN3,-4.718347423,0.000057641,0.999999287,0.000553405
OR4S1,-4.714929792,0.000057644,0.999999330,0.000553434
TMEM158,-4.715867696,0.000057710,0.999999304,0.000554043
ESRRB,-4.711958406,0.000057828,0.999999331,0.000555129
PPDPF,-4.526032505,0.000057856,0.999999259,0.000555387
IQGAP3,-4.711303930,0.000057895,0.999999326,0.000555749
PTGER2,-4.708966546,0.000058009,0.999999334,0.000556799
SYTL1,-4.710419053,0.000058035,0.999999309,0.000557042
WISP3,-4.706981487,0.000058214,0.999999317,0.000558699
PRELID2,-4.713335334,0.000058222,0.999999234,0.000558775
SKOR2,-4.709452747,0.000058267,0.999999276,0.000559186
IL4,-4.704063386,0.000058398,0.999999319,0.000560400
MMP23B,-4.706347778,0.000058479,0.999999271,0.000561143
PROSER1,-4.708157118,0.000058519,0.999999234,0.000561513
COPG1,-4.698112789,0.000058793,0.999999318,0.000564043
