Human uniprot,Human gene
Q14141,SEPT6
Q92599,SEPT8
Q9P0V9,SEPT10
Q9NVA2,SEPT11
Q5JTZ9,AARS2
Q86UK0,ABCA12
O15440,ABCC5
Q8N961,ABTB2
Q96AP0,ACD
Q86SQ6,ADGRA1
Q8IUX7,AEBP1
Q96P47,AGAP3
P35573,AGL
Q9UL18,AGO1
Q9UKA4,AKAP11
Q9H2A2,ALDH8A1
Q9UM73,ALK
Q4VCS5,AMOT
Q9UPS8,ANKRD26
Q7Z3H0,ANKRD33
Q9H6X2,ANTXR1
P25054,APC
Q96DR7,ARHGEF26
Q8NFD5,ARID1B
Q03989,ARID5A
Q9H2J1,ARRDC1-AS1
A6ND91,ASPDH
P18850,ATF6
P54259,ATN1
Q01814,ATP2B2
Q16720,ATP2B3
P23634,ATP2B4
O15169,AXIN1
Q96A70,AZIN2
Q8N9N5,BANP
Q8IXM2,BAP18
Q9BZE3,BARHL1
Q8WY36,BBX
Q9H6U6,BCAS3
Q9C0K0,BCL11B
Q6AI39,BICRAL
Q9BWV1,BOC
P59827,BPIFB4
Q8TDC3,BRSK1
Q9UPA5,BSN
Q6UX41,BTNL8
Q86WS4,C12orf40
Q86SX3,C14orf80
Q86X59,C17orf82
Q8N9H9,C1orf127
Q580R0,C2orf27B
Q2NKX9,C2orf68
A6NN90,C2orf81
Q15878,CACNA1E
O43497,CACNA1G
Q8WUQ7,CACTIN
Q5T5Y3,CAMSAP1
Q9UKL3,CASP8AP2
Q9Y3M2,CBY1
Q6NUI1,CCDC144NL
Q0P6D6,CCDC15
Q569K6,CCDC157
A2VCL2,CCDC162P
Q96LX7,CCDC17
Q2TAC2,CCDC57
Q8WWL7,CCNB3
P30305,CDC25B
Q5VT25,CDC42BPA
Q00587,CDC42EP1
Q9UKI2,CDC42EP3
P55287,CDH11
P49336,CDK8
Q4KMG0,CDON
P06731,CEACAM5
Q9UPV0,CEP164
Q9C0D2,CEP295
Q6ZU64,CFAP65
Q13111,CHAF1A
Q9Y6H1,CHCHD2
Q9HCK8,CHD8
Q3L8U1,CHD9
Q07001,CHRND
Q8WVB6,CHTF18
Q9Y240,CLEC11A
Q86T13,CLEC14A
Q8N3K9,CMYA5
P26441,CNTF
O75128,COBL
P10176,COX8A
Q96RY5,CRAMP1
Q86T23,CROCCP2
Q8IVE0,CROCCP3
Q86UF2,CTAGE6
Q7Z449,CYP2U1
P20815,CYP3A5
Q9UI36,DACH1
Q5SW24,DACT2
P51398,DAP3
Q9UBU7,DBF4
Q9NTK1,DEPP
Q9BUN8,DERL1
Q9H2U1,DHX36
Q8TDM6,DLG5
Q9NPF5,DMAP1
P11532,DMD
Q96JB1,DNAH
Q9P2D7,DNAH1
Q9UFH2,DNAH17
Q9P225,DNAH2
Q8TD57,DNAH3
Q9C0G6,DNAH6
Q9NYC9,DNAH9
O75061,DNAJC6
Q96N67,DOCK7
Q9BZG8,DPH1
Q86TI2,DPP9
P15924,DSP
P0CJ85;P0CJ85;Q9UBX2,DUX4L2;DUX4L2;DUX4
P0CJ85;P0CJ85;Q9UBX2;Q9UBX2,DUX4L2;DUX4L2;DUX4;DUX4
P0CJ87,DUX4L4
Q6P2I7,EBLN2
P42892,ECE1
P01133,EGF
O60739,EIF1B
Q6IA86,ELP2
Q8TE02,ELP5
Q8N8S7,ENAH
Q9H4G0,EPB41L1
Q9UBC2,EPS15L1
Q96RT1,ERBIN
O15083,ERC2
P41161,ETV5
Q9Y2D4,EXOC6B
Q8IWE2,FAM114A1
Q7Z4H9,FAM220A
Q8WU58,FAM222B
Q8N5Q1,FAM71E2
Q6ZRV2,FAM83H
Q9UH90,FBXO40
P30273,FCER1G
Q6ZV73,FGD6
Q92562,FIG4
A6NMB9,FIGNL2
Q9NZ56,FMN2
O60548,FOXD2
O15353,FOXN1
O43524,FOXO3
Q92837,FRAT1
Q8N878,FRMD1
Q9P2Q2,FRMD4A
Q6ZUT3,FRMD7
Q8WU20,FRS2
Q9UQC2,GAB2
Q2WGN9,GAB4
Q06547,GABPB1
O00591,GABRP
Q9UN88,GABRQ
P28476,GABRR2
Q92908,GATA6
O94808,GFPT2
Q9UKL4,GJD2
P84996,GNAS
Q08378,GOLGA3
O95872,GPANK1
Q9UKJ3,GPATCH8
Q9HC44,GPBP1L1
Q86SP6,GPR149
Q9BZJ6,GPR63
P42262,GRIA2
O60391,GRIN3B
Q8TAX9,GSDMB
Q2KHT4,GSG1
Q9Y5Q9,GTF3C3
A4D1E9,GTPBP10
P33402,GUCY1A2
O00165,HAX1
